iter	Passed	Remaining
0	122	122234
1	124	61962
2	125	41621
3	126	31462
4	127	25351
5	128	21294
6	129	18389
7	131	16257
8	132	14590
9	135	13454
10	137	12341
11	139	11517
12	141	10711
13	142	10016
14	143	9417
15	144	8897
16	146	8444
17	147	8041
18	149	7727
19	151	7399
20	152	7105
21	153	6845
22	155	6596
23	156	6363
24	157	6148
25	158	5950
26	160	5769
27	161	5598
28	162	5446
29	164	5326
30	166	5217
31	168	5104
32	170	4982
33	171	4868
34	172	4759
35	173	4656
36	175	4564
37	177	4482
38	179	4424
39	181	4346
40	182	4270
41	184	4202
42	185	4135
43	187	4069
44	188	4003
45	190	3941
46	191	3882
47	194	3856
48	195	3802
49	197	3749
50	199	3704
51	200	3653
52	201	3605
53	203	3557
54	204	3511
55	205	3470
56	207	3438
57	209	3406
58	211	3369
59	212	3333
60	214	3298
61	215	3261
62	216	3225
63	218	3192
64	219	3160
65	221	3131
66	223	3117
67	225	3088
68	226	3059
69	228	3033
70	229	3005
71	230	2976
72	232	2948
73	233	2922
74	234	2896
75	236	2875
76	238	2863
77	240	2843
78	241	2821
79	243	2800
80	244	2778
81	246	2755
82	246	2726
83	248	2706
84	249	2687
85	251	2669
86	253	2660
87	255	2643
88	256	2625
89	257	2608
90	259	2589
91	260	2571
92	261	2554
93	263	2537
94	264	2520
95	265	2504
96	268	2497
97	269	2483
98	271	2470
99	273	2457
100	274	2442
101	275	2426
102	277	2412
103	278	2397
104	279	2384
105	281	2373
106	283	2369
107	285	2356
108	286	2345
109	288	2334
110	289	2321
111	291	2307
112	292	2295
113	293	2283
114	295	2271
115	297	2269
116	298	2255
117	300	2245
118	302	2235
119	303	2225
120	304	2214
121	305	2201
122	307	2190
123	308	2178
124	309	2168
125	311	2159
126	313	2154
127	314	2144
128	316	2136
129	317	2127
130	319	2117
131	320	2107
132	321	2098
133	323	2088
134	324	2079
135	325	2070
136	327	2065
137	329	2060
138	331	2052
139	332	2044
140	334	2035
141	335	2024
142	336	2015
143	337	2007
144	339	1999
145	340	1990
146	342	1986
147	344	1981
148	345	1974
149	347	1969
150	348	1961
151	350	1953
152	351	1945
153	352	1938
154	354	1930
155	357	1933
156	358	1927
157	360	1920
158	362	1915
159	363	1909
160	364	1900
161	366	1893
162	367	1886
163	368	1879
164	370	1875
165	372	1873
166	374	1867
167	377	1867
168	379	1864
169	380	1858
170	382	1852
171	383	1845
172	384	1839
173	387	1837
174	388	1833
175	390	1828
176	392	1824
177	393	1818
178	395	1812
179	396	1806
180	397	1799
181	398	1793
182	400	1788
183	403	1787
184	404	1782
185	406	1776
186	407	1772
187	408	1766
188	410	1760
189	411	1754
190	412	1748
191	414	1743
192	416	1742
193	418	1737
194	419	1732
195	421	1729
196	423	1724
197	424	1719
198	425	1713
199	426	1707
200	428	1702
201	429	1697
202	432	1696
203	433	1691
204	434	1686
205	437	1684
206	438	1679
207	439	1674
208	441	1669
209	442	1664
210	443	1659
211	446	1659
212	448	1655
213	449	1650
214	450	1646
215	452	1642
216	453	1637
217	454	1632
218	456	1626
219	457	1621
220	458	1617
221	461	1616
222	462	1612
223	464	1608
224	465	1604
225	467	1600
226	468	1595
227	469	1590
228	471	1585
229	472	1581
230	473	1576
231	475	1573
232	477	1571
233	479	1568
234	480	1565
235	482	1560
236	483	1556
237	484	1552
238	486	1547
239	487	1543
240	489	1540
241	491	1539
242	494	1540
243	496	1537
244	497	1533
245	499	1529
246	500	1525
247	501	1522
248	507	1529
249	509	1528
250	511	1526
251	513	1524
252	515	1520
253	516	1517
254	517	1513
255	521	1516
256	524	1517
257	527	1515
258	528	1512
259	529	1508
260	531	1504
261	532	1500
262	536	1502
263	537	1499
264	539	1496
265	540	1491
266	542	1488
267	543	1483
268	544	1479
269	545	1475
270	547	1471
271	548	1467
272	550	1466
273	551	1462
274	553	1458
275	554	1455
276	556	1452
277	557	1448
278	559	1444
279	560	1440
280	561	1437
281	562	1433
282	564	1430
283	566	1428
284	568	1426
285	571	1426
286	572	1423
287	574	1419
288	575	1416
289	577	1412
290	578	1409
291	581	1410
292	584	1409
293	585	1406
294	587	1404
295	589	1400
296	590	1397
297	591	1394
298	593	1392
299	596	1391
300	598	1389
301	600	1387
302	601	1383
303	602	1380
304	604	1376
305	605	1373
306	606	1369
307	608	1366
308	610	1364
309	612	1362
310	613	1360
311	615	1357
312	617	1354
313	618	1351
314	619	1347
315	621	1344
316	622	1341
317	624	1339
318	626	1338
319	628	1336
320	631	1335
321	633	1332
322	634	1329
323	635	1326
324	637	1324
325	640	1325
326	643	1325
327	647	1325
328	648	1323
329	650	1319
330	651	1316
331	653	1315
332	655	1313
333	657	1311
334	659	1309
335	660	1305
336	662	1302
337	663	1299
338	665	1297
339	667	1294
340	672	1298
341	674	1297
342	675	1294
343	677	1291
344	678	1288
345	680	1285
346	681	1282
347	682	1279
348	684	1277
349	686	1274
350	688	1272
351	690	1271
352	692	1268
353	693	1265
354	694	1262
355	696	1259
356	697	1256
357	699	1254
358	701	1252
359	703	1250
360	705	1248
361	706	1245
362	707	1242
363	709	1239
364	710	1236
365	712	1234
366	714	1232
367	716	1230
368	718	1228
369	719	1225
370	721	1223
371	722	1220
372	724	1217
373	725	1214
374	730	1217
375	732	1215
376	734	1212
377	735	1210
378	737	1207
379	745	1216
380	747	1214
381	749	1212
382	751	1209
383	753	1208
384	762	1217
385	764	1216
386	766	1214
387	769	1213
388	771	1211
389	773	1209
390	777	1210
391	779	1209
392	781	1207
393	787	1211
394	791	1211
395	792	1209
396	795	1207
397	796	1205
398	798	1203
399	800	1201
400	802	1198
401	805	1198
402	807	1196
403	809	1194
404	811	1192
405	813	1190
406	815	1187
407	822	1193
408	824	1192
409	827	1190
410	829	1188
411	831	1186
412	832	1183
413	837	1185
414	840	1184
415	842	1182
416	843	1179
417	844	1176
418	846	1173
419	847	1170
420	851	1171
421	853	1169
422	855	1166
423	856	1163
424	860	1164
425	863	1164
426	867	1164
427	870	1163
428	872	1161
429	874	1159
430	876	1157
431	878	1154
432	880	1152
433	882	1151
434	884	1149
435	886	1146
436	887	1143
437	888	1140
438	890	1137
439	891	1135
440	893	1132
441	894	1129
442	897	1128
443	900	1127
444	902	1125
445	903	1122
446	904	1119
447	906	1116
448	907	1113
449	909	1111
450	912	1110
451	914	1108
452	916	1106
453	917	1103
454	918	1100
455	920	1097
456	921	1095
457	923	1092
458	924	1089
459	927	1088
460	928	1085
461	929	1082
462	931	1080
463	932	1077
464	933	1074
465	935	1071
466	936	1068
467	937	1065
468	938	1062
469	941	1061
470	943	1059
471	944	1057
472	948	1057
473	950	1054
474	951	1051
475	953	1049
476	954	1046
477	957	1045
478	959	1043
479	961	1041
480	963	1039
481	965	1037
482	966	1034
483	967	1031
484	969	1029
485	971	1027
486	973	1024
487	975	1023
488	978	1022
489	980	1020
490	981	1017
491	983	1015
492	985	1013
493	987	1011
494	989	1009
495	991	1007
496	993	1005
497	995	1003
498	997	1001
499	998	998
500	1000	996
501	1002	994
502	1004	992
503	1007	991
504	1009	989
505	1010	986
506	1012	984
507	1013	981
508	1016	980
509	1018	978
510	1020	976
511	1022	974
512	1023	971
513	1025	969
514	1026	966
515	1028	964
516	1029	962
517	1031	959
518	1033	957
519	1034	955
520	1036	953
521	1038	950
522	1039	948
523	1041	945
524	1042	943
525	1044	941
526	1046	939
527	1048	937
528	1051	936
529	1053	933
530	1054	931
531	1055	928
532	1057	926
533	1059	924
534	1061	922
535	1063	920
536	1067	920
537	1069	918
538	1070	915
539	1071	913
540	1073	911
541	1076	909
542	1077	907
543	1081	906
544	1083	904
545	1084	901
546	1086	899
547	1087	896
548	1088	894
549	1090	892
550	1092	890
551	1093	887
552	1096	885
553	1097	883
554	1099	881
555	1100	878
556	1101	876
557	1103	873
558	1105	871
559	1106	869
560	1108	867
561	1111	865
562	1112	863
563	1113	860
564	1114	858
565	1116	855
566	1117	853
567	1119	851
568	1120	849
569	1122	846
570	1123	844
571	1125	842
572	1127	839
573	1128	837
574	1130	835
575	1131	832
576	1132	830
577	1134	828
578	1136	826
579	1137	823
580	1139	822
581	1141	820
582	1143	817
583	1144	815
584	1145	812
585	1147	810
586	1148	808
587	1150	806
588	1152	804
589	1155	802
590	1157	801
591	1159	798
592	1160	796
593	1162	794
594	1164	792
595	1166	790
596	1169	789
597	1170	787
598	1172	784
599	1173	782
600	1175	780
601	1176	777
602	1177	775
603	1179	773
604	1181	771
605	1183	769
606	1184	767
607	1186	764
608	1187	762
609	1188	759
610	1189	757
611	1190	755
612	1192	752
613	1193	750
614	1195	748
615	1196	746
616	1199	744
617	1200	742
618	1202	739
619	1203	737
620	1205	735
621	1206	733
622	1208	731
623	1209	728
624	1211	726
625	1213	725
626	1215	722
627	1216	720
628	1217	718
629	1219	715
630	1220	713
631	1221	711
632	1223	709
633	1225	707
634	1227	705
635	1229	703
636	1230	701
637	1232	699
638	1233	696
639	1234	694
640	1236	692
641	1238	690
642	1239	688
643	1241	686
644	1244	684
645	1245	682
646	1246	680
647	1247	677
648	1249	675
649	1251	673
650	1252	671
651	1254	669
652	1256	667
653	1258	666
654	1260	663
655	1261	661
656	1263	659
657	1264	657
658	1266	655
659	1267	653
660	1269	651
661	1271	649
662	1273	647
663	1275	645
664	1276	643
665	1277	640
666	1279	638
667	1281	636
668	1283	634
669	1286	633
670	1288	631
671	1290	629
672	1291	627
673	1292	625
674	1294	623
675	1295	620
676	1296	618
677	1298	616
678	1300	614
679	1301	612
680	1303	610
681	1304	608
682	1305	606
683	1307	603
684	1308	601
685	1310	599
686	1311	597
687	1313	595
688	1314	593
689	1318	592
690	1319	590
691	1321	588
692	1322	585
693	1324	583
694	1325	581
695	1327	579
696	1328	577
697	1330	575
698	1332	573
699	1334	571
700	1335	569
701	1337	567
702	1338	565
703	1339	563
704	1342	561
705	1347	560
706	1349	559
707	1351	557
708	1352	555
709	1353	552
710	1355	550
711	1357	548
712	1358	546
713	1360	544
714	1361	542
715	1363	540
716	1364	538
717	1365	536
718	1367	534
719	1369	532
720	1370	530
721	1372	528
722	1373	526
723	1375	524
724	1377	522
725	1379	520
726	1381	518
727	1383	517
728	1387	515
729	1389	513
730	1391	512
731	1393	510
732	1395	508
733	1396	506
734	1397	503
735	1399	501
736	1401	499
737	1403	498
738	1405	496
739	1406	494
740	1408	492
741	1410	490
742	1412	488
743	1413	486
744	1415	484
745	1418	482
746	1421	481
747	1423	479
748	1424	477
749	1426	475
750	1427	473
751	1428	471
752	1430	469
753	1432	467
754	1434	465
755	1437	463
756	1438	461
757	1440	459
758	1441	457
759	1443	455
760	1444	453
761	1445	451
762	1447	449
763	1449	447
764	1451	445
765	1452	443
766	1454	441
767	1455	439
768	1457	437
769	1458	435
770	1459	433
771	1464	432
772	1466	430
773	1468	428
774	1470	426
775	1471	424
776	1472	422
777	1473	420
778	1475	418
779	1476	416
780	1478	414
781	1479	412
782	1481	410
783	1482	408
784	1483	406
785	1485	404
786	1486	402
787	1487	400
788	1488	398
789	1493	396
790	1495	395
791	1496	393
792	1497	390
793	1499	388
794	1500	386
795	1502	384
796	1503	382
797	1505	380
798	1507	379
799	1509	377
800	1511	375
801	1512	373
802	1514	371
803	1515	369
804	1516	367
805	1518	365
806	1519	363
807	1521	361
808	1522	359
809	1524	357
810	1526	355
811	1527	353
812	1528	351
813	1530	349
814	1532	347
815	1533	345
816	1535	343
817	1536	341
818	1538	339
819	1540	338
820	1542	336
821	1543	334
822	1545	332
823	1547	330
824	1548	328
825	1550	326
826	1551	324
827	1553	322
828	1555	320
829	1557	319
830	1559	317
831	1561	315
832	1562	313
833	1563	311
834	1565	309
835	1568	307
836	1571	306
837	1572	304
838	1574	302
839	1575	300
840	1577	298
841	1578	296
842	1580	294
843	1582	292
844	1584	290
845	1586	288
846	1588	286
847	1589	284
848	1590	282
849	1592	280
850	1593	278
851	1595	277
852	1597	275
853	1599	273
854	1601	271
855	1603	269
856	1604	267
857	1605	265
858	1606	263
859	1608	261
860	1609	259
861	1612	258
862	1613	256
863	1615	254
864	1617	252
865	1618	250
866	1619	248
867	1621	246
868	1622	244
869	1624	242
870	1627	241
871	1629	239
872	1631	237
873	1633	235
874	1634	233
875	1635	231
876	1636	229
877	1638	227
878	1640	225
879	1641	223
880	1643	222
881	1645	220
882	1647	218
883	1648	216
884	1649	214
885	1650	212
886	1652	210
887	1653	208
888	1655	206
889	1657	204
890	1659	203
891	1660	201
892	1662	199
893	1663	197
894	1664	195
895	1666	193
896	1667	191
897	1669	189
898	1670	187
899	1672	185
900	1675	184
901	1676	182
902	1677	180
903	1679	178
904	1680	176
905	1681	174
906	1683	172
907	1685	170
908	1687	168
909	1689	167
910	1690	165
911	1692	163
912	1693	161
913	1694	159
914	1696	157
915	1698	155
916	1700	153
917	1702	152
918	1704	150
919	1705	148
920	1706	146
921	1708	144
922	1709	142
923	1711	140
924	1712	138
925	1715	137
926	1717	135
927	1719	133
928	1721	131
929	1722	129
930	1723	127
931	1725	125
932	1726	123
933	1729	122
934	1731	120
935	1733	118
936	1734	116
937	1736	114
938	1737	112
939	1738	110
940	1740	109
941	1741	107
942	1744	105
943	1746	103
944	1748	101
945	1749	99
946	1750	97
947	1752	96
948	1753	94
949	1754	92
950	1756	90
951	1758	88
952	1760	86
953	1762	84
954	1763	83
955	1764	81
956	1766	79
957	1767	77
958	1769	75
959	1770	73
960	1772	71
961	1774	70
962	1776	68
963	1777	66
964	1779	64
965	1780	62
966	1781	60
967	1783	58
968	1784	57
969	1787	55
970	1789	53
971	1790	51
972	1792	49
973	1793	47
974	1795	46
975	1796	44
976	1797	42
977	1799	40
978	1801	38
979	1803	36
980	1805	34
981	1807	33
982	1808	31
983	1809	29
984	1811	27
985	1812	25
986	1814	23
987	1815	22
988	1818	20
989	1819	18
990	1820	16
991	1822	14
992	1823	12
993	1824	11
994	1826	9
995	1827	7
996	1829	5
997	1830	3
998	1832	1
999	1834	0
